entry_id,beacon_id,in_time,out_time,rpi_id
8051,56,2016-09-16 16:23:22,2016-09-16 16:23:22,rpi-25
8052,27,2016-09-16 16:23:31,2016-09-16 16:23:31,rpi-01
8053,78,2016-09-16 16:23:37,2016-09-16 16:23:37,rpi-02
8054,27,2016-09-16 16:23:32,2016-09-16 16:23:44,rpi-00
8055,88,2016-09-16 16:23:26,2016-09-16 16:24:00,rpi-19
8056,56,2016-09-16 16:23:43,2016-09-16 16:23:55,rpi-29
8057,100,2016-09-16 16:23:16,2016-09-16 16:24:12,rpi-29
8058,56,2016-09-16 16:24:06,2016-09-16 16:24:06,rpi-25
8059,72,2016-09-16 16:24:16,2016-09-16 16:24:21,rpi-22
8060,88,2016-09-16 16:23:40,2016-09-16 16:24:23,rpi-14
8061,100,2016-09-16 16:24:38,2016-09-16 16:24:38,rpi-17
8062,100,2016-09-16 16:24:33,2016-09-16 16:24:33,rpi-29
8063,56,2016-09-16 16:23:06,2016-09-16 16:25:01,rpi-01
8064,56,2016-09-16 16:23:05,2016-09-16 16:24:54,rpi-00
8065,27,2016-09-16 16:24:19,2016-09-16 16:24:57,rpi-00
8066,56,2016-09-16 16:24:08,2016-09-16 16:25:00,rpi-20
8067,56,2016-09-16 16:24:15,2016-09-16 16:24:55,rpi-05
8068,56,2016-09-16 16:24:05,2016-09-16 16:25:02,rpi-21
8069,56,2016-09-16 16:24:05,2016-09-16 16:25:02,rpi-04
8070,56,2016-09-16 16:24:06,2016-09-16 16:25:04,rpi-03
8071,27,2016-09-16 15:10:25,2016-09-16 16:25:05,rpi-20
8072,56,2016-09-16 16:21:23,2016-09-16 16:25:04,rpi-02
8073,78,2016-09-16 16:25:22,2016-09-16 16:25:22,rpi-24
8074,88,2016-09-16 16:25:30,2016-09-16 16:25:30,rpi-14
8075,100,2016-09-16 16:25:29,2016-09-16 16:25:29,rpi-29
8076,100,2016-09-16 16:25:57,2016-09-16 16:25:57,rpi-29
8077,78,2016-09-16 16:26:20,2016-09-16 16:26:20,rpi-28
8078,78,2016-09-16 16:26:23,2016-09-16 16:26:29,rpi-01
8079,72,2016-09-16 16:25:52,2016-09-16 16:26:44,rpi-22
8080,88,2016-09-16 16:26:17,2016-09-16 16:26:51,rpi-14
8081,27,2016-09-16 16:26:28,2016-09-16 16:26:52,rpi-00
8082,100,2016-09-16 16:25:49,2016-09-16 16:26:43,rpi-25
8083,27,2016-09-16 16:26:27,2016-09-16 16:26:59,rpi-19
8084,78,2016-09-16 16:27:11,2016-09-16 16:27:11,rpi-24
8085,78,2016-09-16 16:22:06,2016-09-16 16:27:12,rpi-18
8086,100,2016-09-16 16:27:05,2016-09-16 16:27:05,rpi-29
8087,88,2016-09-16 16:25:21,2016-09-16 16:27:13,rpi-19
8088,27,2016-09-16 16:17:02,2016-09-16 16:27:16,rpi-05
8089,78,2016-09-16 16:27:25,2016-09-16 16:27:31,rpi-28
8090,27,2016-09-16 16:25:40,2016-09-16 16:27:30,rpi-20
8091,88,2016-09-16 16:27:33,2016-09-16 16:27:33,rpi-29
8092,78,2016-09-16 16:27:47,2016-09-16 16:27:47,rpi-24
8093,72,2016-09-16 16:27:28,2016-09-16 16:27:46,rpi-22
8094,100,2016-09-16 16:27:34,2016-09-16 16:27:48,rpi-25
8095,27,2016-09-16 16:28:08,2016-09-16 16:28:08,rpi-20
8096,78,2016-09-16 16:27:46,2016-09-16 16:28:11,rpi-02
8097,88,2016-09-16 16:27:51,2016-09-16 16:28:18,rpi-19
8098,88,2016-09-16 16:28:22,2016-09-16 16:28:22,rpi-14
8099,78,2016-09-16 16:28:13,2016-09-16 16:28:26,rpi-24
8100,78,2016-09-16 16:28:24,2016-09-16 16:28:51,rpi-28
8101,5,2016-09-16 16:28:49,2016-09-16 16:28:49,rpi-14
